"",""
"Variables","Win","Loss"
"Overall...","1","7"
"Home...","0","2"
"Away...","1","5"
"Decided by three points or less...","0","0"
"Score 100-plus...","1","4"
"Score 99 or below...","0","4"
"Opponents score 100-plus...","1","6"
"Opponents score 99 or below...","0","1"
"Outshooting opponent (tied)...","1","2"
"Outshot by opponent...","0","5"
"More rebounds than opponent (tied)...","1","1"
"Fewer rebounds than opponent...","0","6"
"More assists than opponent (tied)...","0","2"
"Fewer assists than opponent...","1","5"
"More FTA than opponent (tied)...","0","4"
"Fewer FTA than opponent...","1","3"
"More 3FG than opponent (tied)...","0","3"
"Fewer 3FG than opponent...","1","4"
"More steals than opponent (tied)...","1","4"
"Fewer steals than opponent...","0","3"
"More blocks than opponent (tied)...","1","4"
"Fewer blocks than opponent...","0","3"
"More 2nd-chance points than opponent (tied)...","1","3"
"Fewer 2nd-chance points than opponent...","0","4"
"More fastbreak points than opponent (tied)...","1","2"
"Fewer fastbreak points than opponent...","0","5"
"More points in the paint than opponent (tied)...","1","2"
"Fewer points in the paint than opponent...","0","5"
"Leading after first quarter (tied)...","1","3"
"Trailing after first quarter...","0","4"
"Leading at halftime (tied)...","1","2"
"Trailing at halftime...","0","5"
"Leading after third quarter (tied)...","1","1"
"Trailing after third quarter...","0","6"
"Second game of back-to-back...","0","2"
"More bench points than the opponents (tied)...","1","3"
"Fewer bench points than the opponents...","0","4"
