"",""
"Variables","Win","Loss"
"Overall...","3","5"
"Home...","3","2"
"Away...","0","3"
"Decided by three points or less...","0","0"
"Score 100-plus...","3","4"
"Score 99 or below...","0","1"
"Opponents score 100-plus...","3","5"
"Opponents score 99 or below...","0","0"
"Outshooting opponent (tied)...","1","0"
"Outshot by opponent...","2","5"
"More rebounds than opponent (tied)...","2","2"
"Fewer rebounds than opponent...","1","3"
"More assists than opponent (tied)...","2","2"
"Fewer assists than opponent...","1","3"
"More FTA than opponent (tied)...","1","4"
"Fewer FTA than opponent...","2","1"
"More 3FG than opponent (tied)...","2","4"
"Fewer 3FG than opponent...","1","1"
"More steals than opponent (tied)...","3","2"
"Fewer steals than opponent...","0","3"
"More blocks than opponent (tied)...","2","0"
"Fewer blocks than opponent...","1","5"
"More 2nd-chance points than opponent (tied)...","2","2"
"Fewer 2nd-chance points than opponent...","1","3"
"More fastbreak points than opponent (tied)...","1","3"
"Fewer fastbreak points than opponent...","2","2"
"More points in the paint than opponent (tied)...","2","1"
"Fewer points in the paint than opponent...","1","4"
"Leading after first quarter (tied)...","2","4"
"Trailing after first quarter...","1","1"
"Leading at halftime (tied)...","3","2"
"Trailing at halftime...","0","3"
"Leading after third quarter (tied)...","2","2"
"Trailing after third quarter...","1","3"
"Second game of back-to-back...","1","0"
"More bench points than the opponents (tied)...","2","4"
"Fewer bench points than the opponents...","1","1"
