"",""
"Variables","Win","Loss"
"Overall...","6","2"
"Home...","3","1"
"Away...","3","1"
"Decided by three points or less...","0","1"
"Score 100-plus...","4","1"
"Score 99 or below...","2","2"
"Opponents score 100-plus...","0","2"
"Opponents score 99 or below...","6","0"
"Outshooting opponent (tied)...","4","0"
"Outshot by opponent...","2","2"
"More rebounds than opponent (tied)...","5","0"
"Fewer rebounds than opponent...","1","2"
"More assists than opponent (tied)...","3","2"
"Fewer assists than opponent...","3","0"
"More FTA than opponent (tied)...","5","1"
"Fewer FTA than opponent...","1","1"
"More 3FG than opponent (tied)...","4","2"
"Fewer 3FG than opponent...","2","0"
"More steals than opponent (tied)...","5","2"
"Fewer steals than opponent...","1","0"
"More blocks than opponent (tied)...","4","1"
"Fewer blocks than opponent...","2","1"
"More 2nd-chance points than opponent (tied)...","4","1"
"Fewer 2nd-chance points than opponent...","2","1"
"More fastbreak points than opponent (tied)...","4","2"
"Fewer fastbreak points than opponent...","2","0"
"More points in the paint than opponent (tied)...","2","0"
"Fewer points in the paint than opponent...","4","2"
"Leading after first quarter (tied)...","5","1"
"Trailing after first quarter...","1","1"
"Leading at halftime (tied)...","4","0"
"Trailing at halftime...","2","2"
"Leading after third quarter (tied)...","5","1"
"Trailing after third quarter...","1","1"
"Second game of back-to-back...","0","1"
"More bench points than the opponents (tied)...","3","2"
"Fewer bench points than the opponents...","3","0"
