"",""
"Variables","Win","Loss"
"Overall...","5","3"
"Home...","4","1"
"Away...","1","2"
"Decided by three points or less...","0","0"
"Score 100-plus...","5","0"
"Score 99 or below...","0","3"
"Opponents score 100-plus...","2","3"
"Opponents score 99 or below...","3","0"
"Outshooting opponent (tied)...","5","0"
"Outshot by opponent...","0","3"
"More rebounds than opponent (tied)...","4","2"
"Fewer rebounds than opponent...","1","1"
"More assists than opponent (tied)...","2","0"
"Fewer assists than opponent...","3","3"
"More FTA than opponent (tied)...","3","3"
"Fewer FTA than opponent...","2","0"
"More 3FG than opponent (tied)...","2","1"
"Fewer 3FG than opponent...","3","2"
"More steals than opponent (tied)...","1","1"
"Fewer steals than opponent...","4","2"
"More blocks than opponent (tied)...","4","2"
"Fewer blocks than opponent...","1","1"
"More 2nd-chance points than opponent (tied)...","2","2"
"Fewer 2nd-chance points than opponent...","3","1"
"More fastbreak points than opponent (tied)...","3","1"
"Fewer fastbreak points than opponent...","2","2"
"More points in the paint than opponent (tied)...","3","1"
"Fewer points in the paint than opponent...","2","2"
"Leading after first quarter (tied)...","3","2"
"Trailing after first quarter...","2","1"
"Leading at halftime (tied)...","3","1"
"Trailing at halftime...","2","2"
"Leading after third quarter (tied)...","4","0"
"Trailing after third quarter...","1","3"
"Second game of back-to-back...","1","0"
"More bench points than the opponents (tied)...","3","2"
"Fewer bench points than the opponents...","2","1"
