"",""
"Variables","Win","Loss"
"Overall...","1","5"
"Home...","1","2"
"Away...","0","3"
"Decided by three points or less...","0","0"
"Score 100-plus...","0","2"
"Score 99 or below...","1","4"
"Opponents score 100-plus...","0","3"
"Opponents score 99 or below...","1","2"
"Outshooting opponent (tied)...","0","0"
"Outshot by opponent...","1","5"
"More rebounds than opponent (tied)...","1","2"
"Fewer rebounds than opponent...","0","3"
"More assists than opponent (tied)...","0","1"
"Fewer assists than opponent...","1","4"
"More FTA than opponent (tied)...","1","2"
"Fewer FTA than opponent...","0","3"
"More 3FG than opponent (tied)...","0","2"
"Fewer 3FG than opponent...","1","3"
"More steals than opponent (tied)...","0","0"
"Fewer steals than opponent...","1","5"
"More blocks than opponent (tied)...","0","3"
"Fewer blocks than opponent...","1","2"
"More 2nd-chance points than opponent (tied)...","1","1"
"Fewer 2nd-chance points than opponent...","0","4"
"More fastbreak points than opponent (tied)...","0","2"
"Fewer fastbreak points than opponent...","1","3"
"More points in the paint than opponent (tied)...","1","1"
"Fewer points in the paint than opponent...","0","4"
"Leading after first quarter (tied)...","0","2"
"Trailing after first quarter...","1","3"
"Leading at halftime (tied)...","0","1"
"Trailing at halftime...","1","4"
"Leading after third quarter (tied)...","1","1"
"Trailing after third quarter...","0","4"
"Second game of back-to-back...","0","0"
"More bench points than the opponents (tied)...","0","0"
"Fewer bench points than the opponents...","1","5"
