"",""
"Variables","Win","Loss"
"Overall...","3","5"
"Home...","2","3"
"Away...","1","2"
"Decided by three points or less...","1","0"
"Score 100-plus...","3","3"
"Score 99 or below...","0","2"
"Opponents score 100-plus...","1","5"
"Opponents score 99 or below...","2","0"
"Outshooting opponent (tied)...","3","1"
"Outshot by opponent...","0","4"
"More rebounds than opponent (tied)...","3","1"
"Fewer rebounds than opponent...","0","4"
"More assists than opponent (tied)...","2","0"
"Fewer assists than opponent...","1","5"
"More FTA than opponent (tied)...","3","5"
"Fewer FTA than opponent...","0","0"
"More 3FG than opponent (tied)...","1","0"
"Fewer 3FG than opponent...","2","5"
"More steals than opponent (tied)...","1","0"
"Fewer steals than opponent...","2","5"
"More blocks than opponent (tied)...","3","3"
"Fewer blocks than opponent...","0","2"
"More 2nd-chance points than opponent (tied)...","3","3"
"Fewer 2nd-chance points than opponent...","0","2"
"More fastbreak points than opponent (tied)...","1","1"
"Fewer fastbreak points than opponent...","2","4"
"More points in the paint than opponent (tied)...","3","4"
"Fewer points in the paint than opponent...","0","1"
"Leading after first quarter (tied)...","2","0"
"Trailing after first quarter...","1","5"
"Leading at halftime (tied)...","2","0"
"Trailing at halftime...","1","5"
"Leading after third quarter (tied)...","2","0"
"Trailing after third quarter...","1","5"
"Second game of back-to-back...","0","3"
"More bench points than the opponents (tied)...","2","4"
"Fewer bench points than the opponents...","1","1"
