"",""
"Variables","Win","Loss"
"Overall...","5","3"
"Home...","2","1"
"Away...","3","2"
"Decided by three points or less...","0","0"
"Score 100-plus...","4","1"
"Score 99 or below...","1","2"
"Opponents score 100-plus...","3","2"
"Opponents score 99 or below...","2","1"
"Outshooting opponent (tied)...","4","0"
"Outshot by opponent...","1","3"
"More rebounds than opponent (tied)...","3","0"
"Fewer rebounds than opponent...","2","3"
"More assists than opponent (tied)...","3","0"
"Fewer assists than opponent...","2","3"
"More FTA than opponent (tied)...","1","0"
"Fewer FTA than opponent...","4","3"
"More 3FG than opponent (tied)...","4","1"
"Fewer 3FG than opponent...","1","2"
"More steals than opponent (tied)...","4","1"
"Fewer steals than opponent...","1","2"
"More blocks than opponent (tied)...","3","1"
"Fewer blocks than opponent...","2","2"
"More 2nd-chance points than opponent (tied)...","4","2"
"Fewer 2nd-chance points than opponent...","1","1"
"More fastbreak points than opponent (tied)...","4","1"
"Fewer fastbreak points than opponent...","1","2"
"More points in the paint than opponent (tied)...","5","1"
"Fewer points in the paint than opponent...","0","2"
"Leading after first quarter (tied)...","2","1"
"Trailing after first quarter...","3","2"
"Leading at halftime (tied)...","2","1"
"Trailing at halftime...","3","2"
"Leading after third quarter (tied)...","3","0"
"Trailing after third quarter...","2","3"
"Second game of back-to-back...","2","0"
"More bench points than the opponents (tied)...","4","2"
"Fewer bench points than the opponents...","1","1"
