"",""
"Variables","Win","Loss"
"Overall...","6","3"
"Home...","2","2"
"Away...","4","1"
"Decided by three points or less...","1","1"
"Score 100-plus...","6","3"
"Score 99 or below...","0","0"
"Opponents score 100-plus...","5","3"
"Opponents score 99 or below...","1","0"
"Outshooting opponent (tied)...","6","2"
"Outshot by opponent...","0","1"
"More rebounds than opponent (tied)...","3","2"
"Fewer rebounds than opponent...","3","1"
"More assists than opponent (tied)...","6","3"
"Fewer assists than opponent...","0","0"
"More FTA than opponent (tied)...","2","1"
"Fewer FTA than opponent...","4","2"
"More 3FG than opponent (tied)...","5","2"
"Fewer 3FG than opponent...","1","1"
"More steals than opponent (tied)...","4","1"
"Fewer steals than opponent...","2","2"
"More blocks than opponent (tied)...","6","3"
"Fewer blocks than opponent...","0","0"
"More 2nd-chance points than opponent (tied)...","2","0"
"Fewer 2nd-chance points than opponent...","4","3"
"More fastbreak points than opponent (tied)...","6","3"
"Fewer fastbreak points than opponent...","0","0"
"More points in the paint than opponent (tied)...","4","0"
"Fewer points in the paint than opponent...","2","3"
"Leading after first quarter (tied)...","3","2"
"Trailing after first quarter...","3","1"
"Leading at halftime (tied)...","3","2"
"Trailing at halftime...","3","1"
"Leading after third quarter (tied)...","5","1"
"Trailing after third quarter...","1","2"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","3","0"
"Fewer bench points than the opponents...","3","3"
