"",""
"Variables","Win","Loss"
"Overall...","6","3"
"Home...","1","2"
"Away...","5","1"
"Decided by three points or less...","2","0"
"Score 100-plus...","6","1"
"Score 99 or below...","0","2"
"Opponents score 100-plus...","3","2"
"Opponents score 99 or below...","3","1"
"Outshooting opponent (tied)...","4","0"
"Outshot by opponent...","2","3"
"More rebounds than opponent (tied)...","5","2"
"Fewer rebounds than opponent...","1","1"
"More assists than opponent (tied)...","2","1"
"Fewer assists than opponent...","4","2"
"More FTA than opponent (tied)...","4","2"
"Fewer FTA than opponent...","2","1"
"More 3FG than opponent (tied)...","4","3"
"Fewer 3FG than opponent...","2","0"
"More steals than opponent (tied)...","3","1"
"Fewer steals than opponent...","3","2"
"More blocks than opponent (tied)...","4","1"
"Fewer blocks than opponent...","2","2"
"More 2nd-chance points than opponent (tied)...","3","3"
"Fewer 2nd-chance points than opponent...","3","0"
"More fastbreak points than opponent (tied)...","1","2"
"Fewer fastbreak points than opponent...","5","1"
"More points in the paint than opponent (tied)...","3","1"
"Fewer points in the paint than opponent...","3","2"
"Leading after first quarter (tied)...","2","2"
"Trailing after first quarter...","4","1"
"Leading at halftime (tied)...","5","1"
"Trailing at halftime...","1","2"
"Leading after third quarter (tied)...","4","1"
"Trailing after third quarter...","2","2"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","1","0"
"Fewer bench points than the opponents...","5","3"
