"",""
"Variables","Win","Loss"
"Overall...","5","3"
"Home...","3","1"
"Away...","2","2"
"Decided by three points or less...","1","0"
"Score 100-plus...","4","1"
"Score 99 or below...","1","2"
"Opponents score 100-plus...","3","3"
"Opponents score 99 or below...","2","0"
"Outshooting opponent (tied)...","5","0"
"Outshot by opponent...","0","3"
"More rebounds than opponent (tied)...","5","1"
"Fewer rebounds than opponent...","0","2"
"More assists than opponent (tied)...","5","0"
"Fewer assists than opponent...","0","3"
"More FTA than opponent (tied)...","3","3"
"Fewer FTA than opponent...","2","0"
"More 3FG than opponent (tied)...","4","1"
"Fewer 3FG than opponent...","1","2"
"More steals than opponent (tied)...","3","2"
"Fewer steals than opponent...","2","1"
"More blocks than opponent (tied)...","2","0"
"Fewer blocks than opponent...","3","3"
"More 2nd-chance points than opponent (tied)...","3","2"
"Fewer 2nd-chance points than opponent...","2","1"
"More fastbreak points than opponent (tied)...","5","1"
"Fewer fastbreak points than opponent...","0","2"
"More points in the paint than opponent (tied)...","2","1"
"Fewer points in the paint than opponent...","3","2"
"Leading after first quarter (tied)...","4","1"
"Trailing after first quarter...","1","2"
"Leading at halftime (tied)...","5","0"
"Trailing at halftime...","0","3"
"Leading after third quarter (tied)...","5","0"
"Trailing after third quarter...","0","3"
"Second game of back-to-back...","1","2"
"More bench points than the opponents (tied)...","0","1"
"Fewer bench points than the opponents...","5","2"
