"",""
"Variables","Win","Loss"
"Overall...","5","2"
"Home...","3","2"
"Away...","2","0"
"Decided by three points or less...","1","0"
"Score 100-plus...","5","1"
"Score 99 or below...","0","1"
"Opponents score 100-plus...","1","1"
"Opponents score 99 or below...","4","1"
"Outshooting opponent (tied)...","4","0"
"Outshot by opponent...","1","2"
"More rebounds than opponent (tied)...","5","1"
"Fewer rebounds than opponent...","0","1"
"More assists than opponent (tied)...","4","1"
"Fewer assists than opponent...","1","1"
"More FTA than opponent (tied)...","3","2"
"Fewer FTA than opponent...","2","0"
"More 3FG than opponent (tied)...","4","1"
"Fewer 3FG than opponent...","1","1"
"More steals than opponent (tied)...","4","0"
"Fewer steals than opponent...","1","2"
"More blocks than opponent (tied)...","2","1"
"Fewer blocks than opponent...","3","1"
"More 2nd-chance points than opponent (tied)...","4","1"
"Fewer 2nd-chance points than opponent...","1","1"
"More fastbreak points than opponent (tied)...","3","0"
"Fewer fastbreak points than opponent...","2","2"
"More points in the paint than opponent (tied)...","5","0"
"Fewer points in the paint than opponent...","0","2"
"Leading after first quarter (tied)...","5","0"
"Trailing after first quarter...","0","2"
"Leading at halftime (tied)...","5","1"
"Trailing at halftime...","0","1"
"Leading after third quarter (tied)...","5","1"
"Trailing after third quarter...","0","1"
"Second game of back-to-back...","0","0"
"More bench points than the opponents (tied)...","3","0"
"Fewer bench points than the opponents...","2","2"
