"",""
"Variables","Win","Loss"
"Overall...","3","5"
"Home...","2","3"
"Away...","1","2"
"Decided by three points or less...","2","1"
"Score 100-plus...","3","2"
"Score 99 or below...","0","3"
"Opponents score 100-plus...","1","4"
"Opponents score 99 or below...","2","1"
"Outshooting opponent (tied)...","3","3"
"Outshot by opponent...","0","2"
"More rebounds than opponent (tied)...","2","1"
"Fewer rebounds than opponent...","1","4"
"More assists than opponent (tied)...","3","1"
"Fewer assists than opponent...","0","4"
"More FTA than opponent (tied)...","1","4"
"Fewer FTA than opponent...","2","1"
"More 3FG than opponent (tied)...","2","0"
"Fewer 3FG than opponent...","1","5"
"More steals than opponent (tied)...","2","2"
"Fewer steals than opponent...","1","3"
"More blocks than opponent (tied)...","2","4"
"Fewer blocks than opponent...","1","1"
"More 2nd-chance points than opponent (tied)...","2","2"
"Fewer 2nd-chance points than opponent...","1","3"
"More fastbreak points than opponent (tied)...","3","5"
"Fewer fastbreak points than opponent...","0","0"
"More points in the paint than opponent (tied)...","3","4"
"Fewer points in the paint than opponent...","0","1"
"Leading after first quarter (tied)...","3","1"
"Trailing after first quarter...","0","4"
"Leading at halftime (tied)...","1","1"
"Trailing at halftime...","2","4"
"Leading after third quarter (tied)...","2","0"
"Trailing after third quarter...","1","5"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","3","5"
"Fewer bench points than the opponents...","0","0"
