"",""
"Variables","Win","Loss"
"Overall...","5","3"
"Home...","4","2"
"Away...","1","1"
"Decided by three points or less...","0","1"
"Score 100-plus...","3","0"
"Score 99 or below...","2","3"
"Opponents score 100-plus...","1","3"
"Opponents score 99 or below...","4","0"
"Outshooting opponent (tied)...","5","0"
"Outshot by opponent...","0","3"
"More rebounds than opponent (tied)...","0","1"
"Fewer rebounds than opponent...","5","2"
"More assists than opponent (tied)...","3","1"
"Fewer assists than opponent...","2","2"
"More FTA than opponent (tied)...","3","2"
"Fewer FTA than opponent...","2","1"
"More 3FG than opponent (tied)...","3","2"
"Fewer 3FG than opponent...","2","1"
"More steals than opponent (tied)...","3","3"
"Fewer steals than opponent...","2","0"
"More blocks than opponent (tied)...","3","1"
"Fewer blocks than opponent...","2","2"
"More 2nd-chance points than opponent (tied)...","1","0"
"Fewer 2nd-chance points than opponent...","4","3"
"More fastbreak points than opponent (tied)...","2","3"
"Fewer fastbreak points than opponent...","3","0"
"More points in the paint than opponent (tied)...","4","2"
"Fewer points in the paint than opponent...","1","1"
"Leading after first quarter (tied)...","2","2"
"Trailing after first quarter...","3","1"
"Leading at halftime (tied)...","4","2"
"Trailing at halftime...","1","1"
"Leading after third quarter (tied)...","4","1"
"Trailing after third quarter...","1","2"
"Second game of back-to-back...","1","0"
"More bench points than the opponents (tied)...","5","2"
"Fewer bench points than the opponents...","0","1"
