"",""
"Variables","Win","Loss"
"Overall...","4","4"
"Home...","2","3"
"Away...","2","1"
"Decided by three points or less...","1","0"
"Score 100-plus...","4","1"
"Score 99 or below...","0","3"
"Opponents score 100-plus...","3","3"
"Opponents score 99 or below...","1","1"
"Outshooting opponent (tied)...","4","1"
"Outshot by opponent...","0","3"
"More rebounds than opponent (tied)...","2","0"
"Fewer rebounds than opponent...","2","4"
"More assists than opponent (tied)...","3","3"
"Fewer assists than opponent...","1","1"
"More FTA than opponent (tied)...","1","1"
"Fewer FTA than opponent...","3","3"
"More 3FG than opponent (tied)...","2","3"
"Fewer 3FG than opponent...","2","1"
"More steals than opponent (tied)...","2","2"
"Fewer steals than opponent...","2","2"
"More blocks than opponent (tied)...","3","2"
"Fewer blocks than opponent...","1","2"
"More 2nd-chance points than opponent (tied)...","1","1"
"Fewer 2nd-chance points than opponent...","3","3"
"More fastbreak points than opponent (tied)...","3","4"
"Fewer fastbreak points than opponent...","1","0"
"More points in the paint than opponent (tied)...","4","1"
"Fewer points in the paint than opponent...","0","3"
"Leading after first quarter (tied)...","1","2"
"Trailing after first quarter...","3","2"
"Leading at halftime (tied)...","3","1"
"Trailing at halftime...","1","3"
"Leading after third quarter (tied)...","3","1"
"Trailing after third quarter...","1","3"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","1","0"
"Fewer bench points than the opponents...","3","4"
