"",""
"Variables","Win","Loss"
"Overall...","5","3"
"Home...","2","1"
"Away...","3","2"
"Decided by three points or less...","4","0"
"Score 100-plus...","5","2"
"Score 99 or below...","0","1"
"Opponents score 100-plus...","3","3"
"Opponents score 99 or below...","2","0"
"Outshooting opponent (tied)...","2","0"
"Outshot by opponent...","3","3"
"More rebounds than opponent (tied)...","4","0"
"Fewer rebounds than opponent...","1","3"
"More assists than opponent (tied)...","2","1"
"Fewer assists than opponent...","3","2"
"More FTA than opponent (tied)...","5","3"
"Fewer FTA than opponent...","0","0"
"More 3FG than opponent (tied)...","2","1"
"Fewer 3FG than opponent...","3","2"
"More steals than opponent (tied)...","3","1"
"Fewer steals than opponent...","2","2"
"More blocks than opponent (tied)...","0","2"
"Fewer blocks than opponent...","5","1"
"More 2nd-chance points than opponent (tied)...","4","1"
"Fewer 2nd-chance points than opponent...","1","2"
"More fastbreak points than opponent (tied)...","0","1"
"Fewer fastbreak points than opponent...","5","2"
"More points in the paint than opponent (tied)...","2","2"
"Fewer points in the paint than opponent...","3","1"
"Leading after first quarter (tied)...","3","1"
"Trailing after first quarter...","2","2"
"Leading at halftime (tied)...","4","1"
"Trailing at halftime...","1","2"
"Leading after third quarter (tied)...","4","0"
"Trailing after third quarter...","1","3"
"Second game of back-to-back...","0","1"
"More bench points than the opponents (tied)...","2","2"
"Fewer bench points than the opponents...","3","1"
