"",""
"Variables","Win","Loss"
"Overall...","3","5"
"Home...","1","3"
"Away...","2","2"
"Decided by three points or less...","0","0"
"Score 100-plus...","3","1"
"Score 99 or below...","0","4"
"Opponents score 100-plus...","3","5"
"Opponents score 99 or below...","0","0"
"Outshooting opponent (tied)...","3","1"
"Outshot by opponent...","0","4"
"More rebounds than opponent (tied)...","3","3"
"Fewer rebounds than opponent...","0","2"
"More assists than opponent (tied)...","1","3"
"Fewer assists than opponent...","2","2"
"More FTA than opponent (tied)...","1","3"
"Fewer FTA than opponent...","2","2"
"More 3FG than opponent (tied)...","3","1"
"Fewer 3FG than opponent...","0","4"
"More steals than opponent (tied)...","2","2"
"Fewer steals than opponent...","1","3"
"More blocks than opponent (tied)...","1","4"
"Fewer blocks than opponent...","2","1"
"More 2nd-chance points than opponent (tied)...","3","2"
"Fewer 2nd-chance points than opponent...","0","3"
"More fastbreak points than opponent (tied)...","1","1"
"Fewer fastbreak points than opponent...","2","4"
"More points in the paint than opponent (tied)...","3","3"
"Fewer points in the paint than opponent...","0","2"
"Leading after first quarter (tied)...","2","2"
"Trailing after first quarter...","1","3"
"Leading at halftime (tied)...","2","3"
"Trailing at halftime...","1","2"
"Leading after third quarter (tied)...","3","1"
"Trailing after third quarter...","0","4"
"Second game of back-to-back...","0","0"
"More bench points than the opponents (tied)...","0","1"
"Fewer bench points than the opponents...","3","4"
