"",""
"Variables","Win","Loss"
"Overall...","3","4"
"Home...","2","2"
"Away...","1","2"
"Decided by three points or less...","0","0"
"Score 100-plus...","3","1"
"Score 99 or below...","0","3"
"Opponents score 100-plus...","1","4"
"Opponents score 99 or below...","2","0"
"Outshooting opponent (tied)...","3","0"
"Outshot by opponent...","0","4"
"More rebounds than opponent (tied)...","3","2"
"Fewer rebounds than opponent...","0","2"
"More assists than opponent (tied)...","3","1"
"Fewer assists than opponent...","0","3"
"More FTA than opponent (tied)...","0","1"
"Fewer FTA than opponent...","3","3"
"More 3FG than opponent (tied)...","1","0"
"Fewer 3FG than opponent...","2","4"
"More steals than opponent (tied)...","2","2"
"Fewer steals than opponent...","1","2"
"More blocks than opponent (tied)...","3","1"
"Fewer blocks than opponent...","0","3"
"More 2nd-chance points than opponent (tied)...","3","2"
"Fewer 2nd-chance points than opponent...","0","2"
"More fastbreak points than opponent (tied)...","2","1"
"Fewer fastbreak points than opponent...","1","3"
"More points in the paint than opponent (tied)...","2","2"
"Fewer points in the paint than opponent...","1","2"
"Leading after first quarter (tied)...","2","2"
"Trailing after first quarter...","1","2"
"Leading at halftime (tied)...","3","1"
"Trailing at halftime...","0","3"
"Leading after third quarter (tied)...","3","1"
"Trailing after third quarter...","0","3"
"Second game of back-to-back...","1","0"
"More bench points than the opponents (tied)...","1","4"
"Fewer bench points than the opponents...","2","0"
