"",""
"Variables","Win","Loss"
"Overall...","4","3"
"Home...","2","1"
"Away...","2","2"
"Decided by three points or less...","0","2"
"Score 100-plus...","4","2"
"Score 99 or below...","0","1"
"Opponents score 100-plus...","0","2"
"Opponents score 99 or below...","4","1"
"Outshooting opponent (tied)...","4","1"
"Outshot by opponent...","0","2"
"More rebounds than opponent (tied)...","4","0"
"Fewer rebounds than opponent...","0","3"
"More assists than opponent (tied)...","3","1"
"Fewer assists than opponent...","1","2"
"More FTA than opponent (tied)...","1","1"
"Fewer FTA than opponent...","3","2"
"More 3FG than opponent (tied)...","4","3"
"Fewer 3FG than opponent...","0","0"
"More steals than opponent (tied)...","2","3"
"Fewer steals than opponent...","2","0"
"More blocks than opponent (tied)...","3","3"
"Fewer blocks than opponent...","1","0"
"More 2nd-chance points than opponent (tied)...","3","1"
"Fewer 2nd-chance points than opponent...","1","2"
"More fastbreak points than opponent (tied)...","3","3"
"Fewer fastbreak points than opponent...","1","0"
"More points in the paint than opponent (tied)...","4","1"
"Fewer points in the paint than opponent...","0","2"
"Leading after first quarter (tied)...","4","1"
"Trailing after first quarter...","0","2"
"Leading at halftime (tied)...","4","1"
"Trailing at halftime...","0","2"
"Leading after third quarter (tied)...","4","0"
"Trailing after third quarter...","0","3"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","3","2"
"Fewer bench points than the opponents...","1","1"
