"",""
"Variables","Win","Loss"
"Overall...","4","4"
"Home...","1","2"
"Away...","3","2"
"Decided by three points or less...","1","1"
"Score 100-plus...","3","2"
"Score 99 or below...","1","2"
"Opponents score 100-plus...","3","4"
"Opponents score 99 or below...","1","0"
"Outshooting opponent (tied)...","3","1"
"Outshot by opponent...","1","3"
"More rebounds than opponent (tied)...","4","1"
"Fewer rebounds than opponent...","0","3"
"More assists than opponent (tied)...","4","3"
"Fewer assists than opponent...","0","1"
"More FTA than opponent (tied)...","1","0"
"Fewer FTA than opponent...","3","4"
"More 3FG than opponent (tied)...","2","3"
"Fewer 3FG than opponent...","2","1"
"More steals than opponent (tied)...","2","3"
"Fewer steals than opponent...","2","1"
"More blocks than opponent (tied)...","2","0"
"Fewer blocks than opponent...","2","4"
"More 2nd-chance points than opponent (tied)...","3","2"
"Fewer 2nd-chance points than opponent...","1","2"
"More fastbreak points than opponent (tied)...","1","3"
"Fewer fastbreak points than opponent...","3","1"
"More points in the paint than opponent (tied)...","3","2"
"Fewer points in the paint than opponent...","1","2"
"Leading after first quarter (tied)...","4","1"
"Trailing after first quarter...","0","3"
"Leading at halftime (tied)...","4","2"
"Trailing at halftime...","0","2"
"Leading after third quarter (tied)...","4","2"
"Trailing after third quarter...","0","2"
"Second game of back-to-back...","0","1"
"More bench points than the opponents (tied)...","1","1"
"Fewer bench points than the opponents...","3","3"
