"",""
"Variables","Win","Loss"
"Overall...","4","4"
"Home...","2","2"
"Away...","2","2"
"Decided by three points or less...","1","1"
"Score 100-plus...","3","2"
"Score 99 or below...","1","2"
"Opponents score 100-plus...","3","4"
"Opponents score 99 or below...","1","0"
"Outshooting opponent (tied)...","4","0"
"Outshot by opponent...","0","4"
"More rebounds than opponent (tied)...","4","1"
"Fewer rebounds than opponent...","0","3"
"More assists than opponent (tied)...","3","0"
"Fewer assists than opponent...","1","4"
"More FTA than opponent (tied)...","1","3"
"Fewer FTA than opponent...","3","1"
"More 3FG than opponent (tied)...","3","1"
"Fewer 3FG than opponent...","1","3"
"More steals than opponent (tied)...","2","3"
"Fewer steals than opponent...","2","1"
"More blocks than opponent (tied)...","3","4"
"Fewer blocks than opponent...","1","0"
"More 2nd-chance points than opponent (tied)...","2","2"
"Fewer 2nd-chance points than opponent...","2","2"
"More fastbreak points than opponent (tied)...","0","2"
"Fewer fastbreak points than opponent...","4","2"
"More points in the paint than opponent (tied)...","3","1"
"Fewer points in the paint than opponent...","1","3"
"Leading after first quarter (tied)...","3","0"
"Trailing after first quarter...","1","4"
"Leading at halftime (tied)...","3","1"
"Trailing at halftime...","1","3"
"Leading after third quarter (tied)...","2","0"
"Trailing after third quarter...","2","4"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","3","1"
"Fewer bench points than the opponents...","1","3"
