"",""
"Variables","Win","Loss"
"Overall...","5","4"
"Home...","3","2"
"Away...","2","2"
"Decided by three points or less...","1","2"
"Score 100-plus...","5","3"
"Score 99 or below...","0","1"
"Opponents score 100-plus...","2","3"
"Opponents score 99 or below...","3","1"
"Outshooting opponent (tied)...","3","1"
"Outshot by opponent...","2","3"
"More rebounds than opponent (tied)...","5","1"
"Fewer rebounds than opponent...","0","3"
"More assists than opponent (tied)...","5","2"
"Fewer assists than opponent...","0","2"
"More FTA than opponent (tied)...","3","2"
"Fewer FTA than opponent...","2","2"
"More 3FG than opponent (tied)...","5","3"
"Fewer 3FG than opponent...","0","1"
"More steals than opponent (tied)...","2","2"
"Fewer steals than opponent...","3","2"
"More blocks than opponent (tied)...","3","1"
"Fewer blocks than opponent...","2","3"
"More 2nd-chance points than opponent (tied)...","5","1"
"Fewer 2nd-chance points than opponent...","0","3"
"More fastbreak points than opponent (tied)...","1","1"
"Fewer fastbreak points than opponent...","4","3"
"More points in the paint than opponent (tied)...","4","1"
"Fewer points in the paint than opponent...","1","3"
"Leading after first quarter (tied)...","5","2"
"Trailing after first quarter...","0","2"
"Leading at halftime (tied)...","4","1"
"Trailing at halftime...","1","3"
"Leading after third quarter (tied)...","4","1"
"Trailing after third quarter...","1","3"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","2","1"
"Fewer bench points than the opponents...","3","3"
