"",""
"Variables","Win","Loss"
"Overall...","1","7"
"Home...","0","3"
"Away...","1","4"
"Decided by three points or less...","0","1"
"Score 100-plus...","0","3"
"Score 99 or below...","1","5"
"Opponents score 100-plus...","0","6"
"Opponents score 99 or below...","1","1"
"Outshooting opponent (tied)...","1","1"
"Outshot by opponent...","0","6"
"More rebounds than opponent (tied)...","1","0"
"Fewer rebounds than opponent...","0","7"
"More assists than opponent (tied)...","1","2"
"Fewer assists than opponent...","0","5"
"More FTA than opponent (tied)...","0","2"
"Fewer FTA than opponent...","1","5"
"More 3FG than opponent (tied)...","0","0"
"Fewer 3FG than opponent...","1","7"
"More steals than opponent (tied)...","1","4"
"Fewer steals than opponent...","0","3"
"More blocks than opponent (tied)...","0","4"
"Fewer blocks than opponent...","1","3"
"More 2nd-chance points than opponent (tied)...","1","2"
"Fewer 2nd-chance points than opponent...","0","5"
"More fastbreak points than opponent (tied)...","0","4"
"Fewer fastbreak points than opponent...","1","3"
"More points in the paint than opponent (tied)...","0","4"
"Fewer points in the paint than opponent...","1","3"
"Leading after first quarter (tied)...","0","2"
"Trailing after first quarter...","1","5"
"Leading at halftime (tied)...","1","1"
"Trailing at halftime...","0","6"
"Leading after third quarter (tied)...","1","0"
"Trailing after third quarter...","0","7"
"Second game of back-to-back...","0","2"
"More bench points than the opponents (tied)...","0","6"
"Fewer bench points than the opponents...","1","1"
