"",""
"Variables","Win","Loss"
"Overall...","4","4"
"Home...","2","1"
"Away...","2","3"
"Decided by three points or less...","0","1"
"Score 100-plus...","3","0"
"Score 99 or below...","1","4"
"Opponents score 100-plus...","1","3"
"Opponents score 99 or below...","3","1"
"Outshooting opponent (tied)...","4","0"
"Outshot by opponent...","0","4"
"More rebounds than opponent (tied)...","4","3"
"Fewer rebounds than opponent...","0","1"
"More assists than opponent (tied)...","2","1"
"Fewer assists than opponent...","2","3"
"More FTA than opponent (tied)...","2","3"
"Fewer FTA than opponent...","2","1"
"More 3FG than opponent (tied)...","2","1"
"Fewer 3FG than opponent...","2","3"
"More steals than opponent (tied)...","3","1"
"Fewer steals than opponent...","1","3"
"More blocks than opponent (tied)...","3","2"
"Fewer blocks than opponent...","1","2"
"More 2nd-chance points than opponent (tied)...","4","4"
"Fewer 2nd-chance points than opponent...","0","0"
"More fastbreak points than opponent (tied)...","3","0"
"Fewer fastbreak points than opponent...","1","4"
"More points in the paint than opponent (tied)...","3","1"
"Fewer points in the paint than opponent...","1","3"
"Leading after first quarter (tied)...","2","1"
"Trailing after first quarter...","2","3"
"Leading at halftime (tied)...","4","1"
"Trailing at halftime...","0","3"
"Leading after third quarter (tied)...","4","0"
"Trailing after third quarter...","0","4"
"Second game of back-to-back...","0","1"
"More bench points than the opponents (tied)...","3","3"
"Fewer bench points than the opponents...","1","1"
