"",""
"Variables","Win","Loss"
"Overall...","5","3"
"Home...","5","0"
"Away...","0","3"
"Decided by three points or less...","0","1"
"Score 100-plus...","3","0"
"Score 99 or below...","2","3"
"Opponents score 100-plus...","1","2"
"Opponents score 99 or below...","4","1"
"Outshooting opponent (tied)...","4","1"
"Outshot by opponent...","1","2"
"More rebounds than opponent (tied)...","3","0"
"Fewer rebounds than opponent...","2","3"
"More assists than opponent (tied)...","4","2"
"Fewer assists than opponent...","1","1"
"More FTA than opponent (tied)...","3","1"
"Fewer FTA than opponent...","2","2"
"More 3FG than opponent (tied)...","3","2"
"Fewer 3FG than opponent...","2","1"
"More steals than opponent (tied)...","3","1"
"Fewer steals than opponent...","2","2"
"More blocks than opponent (tied)...","5","3"
"Fewer blocks than opponent...","0","0"
"More 2nd-chance points than opponent (tied)...","3","0"
"Fewer 2nd-chance points than opponent...","2","3"
"More fastbreak points than opponent (tied)...","1","3"
"Fewer fastbreak points than opponent...","4","0"
"More points in the paint than opponent (tied)...","3","0"
"Fewer points in the paint than opponent...","2","3"
"Leading after first quarter (tied)...","3","0"
"Trailing after first quarter...","2","3"
"Leading at halftime (tied)...","3","0"
"Trailing at halftime...","2","3"
"Leading after third quarter (tied)...","3","0"
"Trailing after third quarter...","2","3"
"Second game of back-to-back...","1","1"
"More bench points than the opponents (tied)...","3","1"
"Fewer bench points than the opponents...","2","2"
