"",""
"Variables","Win","Loss"
"Overall...","4","3"
"Home...","2","1"
"Away...","2","2"
"Decided by three points or less...","0","2"
"Score 100-plus...","4","2"
"Score 99 or below...","0","1"
"Opponents score 100-plus...","3","3"
"Opponents score 99 or below...","1","0"
"Outshooting opponent (tied)...","2","0"
"Outshot by opponent...","2","3"
"More rebounds than opponent (tied)...","3","1"
"Fewer rebounds than opponent...","1","2"
"More assists than opponent (tied)...","2","0"
"Fewer assists than opponent...","2","3"
"More FTA than opponent (tied)...","4","2"
"Fewer FTA than opponent...","0","1"
"More 3FG than opponent (tied)...","2","2"
"Fewer 3FG than opponent...","2","1"
"More steals than opponent (tied)...","4","3"
"Fewer steals than opponent...","0","0"
"More blocks than opponent (tied)...","4","1"
"Fewer blocks than opponent...","0","2"
"More 2nd-chance points than opponent (tied)...","2","2"
"Fewer 2nd-chance points than opponent...","2","1"
"More fastbreak points than opponent (tied)...","1","1"
"Fewer fastbreak points than opponent...","3","2"
"More points in the paint than opponent (tied)...","3","0"
"Fewer points in the paint than opponent...","1","3"
"Leading after first quarter (tied)...","3","2"
"Trailing after first quarter...","1","1"
"Leading at halftime (tied)...","2","3"
"Trailing at halftime...","2","0"
"Leading after third quarter (tied)...","4","3"
"Trailing after third quarter...","0","0"
"Second game of back-to-back...","0","0"
"More bench points than the opponents (tied)...","2","0"
"Fewer bench points than the opponents...","2","3"
